Variant,Setting,accuracy,precision,recall,f1,auc,eer,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr,ece,brier,tn,fp,fn,tp
freqnet_like_baseline,standard,0.5925333333333334,0.6475967673330497,0.406,0.49909850844123915,0.6492293155555555,0.3945333333333333,0.0408,0.004666666666666667,0.007565726233273696,0.23675855099627813,5843,1657,4455,3045
f3net_like_baseline,standard,0.9582666666666667,0.9564409030544488,0.9602666666666667,0.9583499667332003,0.99340008,0.04120000000000001,0.9008,0.7596,0.014893965836800646,0.030337595797831567,7172,328,298,7202
mesonet_baseline,standard,0.6911333333333334,0.7213899613899614,0.6228,0.668479427549195,0.7743806755555556,0.3089333333333333,0.196,0.10346666666666667,0.02185747176713002,0.19410807200310531,5696,1804,2829,4671
efficientnet_b4_baseline,standard,0.9502,0.9578305084745763,0.9418666666666666,0.949781512605042,0.9905537600000001,0.04920000000000001,0.8630666666666666,0.6497333333333334,0.015451956064440385,0.03638738380486302,7189,311,436,7064
convnext_tiny_baseline,standard,0.6200666666666667,0.6281121069853465,0.5886666666666667,0.6077500172069653,0.6632146044444445,0.379,0.04293333333333333,0.0036,0.026235301699241004,0.2324841770425395,4886,2614,3085,4415
vit_b16_baseline,standard,0.5854,0.6651198762567672,0.344,0.4534669127339836,0.6288076977777778,0.4076666666666666,0.0448,0.0048,0.027132819265127166,0.240501947142894,6201,1299,4920,2580
swin_tiny_baseline,standard,0.9468666666666666,0.9576676225590605,0.9350666666666667,0.946232206705795,0.9887254666666667,0.054400000000000004,0.8652,0.6826666666666666,0.012493901656568005,0.03913694985650955,7190,310,487,7013
xception_baseline,standard,0.9532666666666667,0.9466561555643148,0.9606666666666667,0.9536099530143605,0.9914404622222223,0.04613333333333334,0.8657333333333334,0.5114666666666666,0.013897056037932634,0.035429744178268184,7094,406,295,7205
spatial_baseline,standard,0.9569333333333333,0.9618598382749326,0.9516,0.9567024128686327,0.9918036444444445,0.04293333333333335,0.8893333333333333,0.6246666666666667,0.010606740764901096,0.03248693096020093,7217,283,363,7137
spatial_frequency,standard,0.9601333333333333,0.960256068284876,0.96,0.9601280170689426,0.9930208799999999,0.03980000000000003,0.9118666666666667,0.7548,0.011547650658587622,0.029517222871957703,7202,298,300,7200
spatial_frequency_patch,standard,0.9558,0.9727561886322776,0.9378666666666666,0.9549928721743263,0.9922905333333335,0.04526666666666666,0.9030666666666667,0.7078666666666666,0.005472838740920053,0.033642635496610486,7303,197,466,7034
no_counterfactual,standard,0.9426666666666667,0.9778353483016695,0.9058666666666667,0.9404761904761905,0.9901597866666666,0.05113333333333335,0.8638666666666667,0.6969333333333333,0.012118906246746525,0.041586522524417864,7346,154,706,6794
no_domain,standard,0.9516666666666667,0.9761068165846802,0.926,0.9503934314060897,0.9927359733333333,0.04386666666666669,0.8924,0.7845333333333333,0.012483987251110417,0.03478745215639017,7330,170,555,6945
final,standard,0.9642,0.961676170269195,0.9669333333333333,0.9642975865966359,0.9946840622222222,0.03520000000000001,0.9241333333333334,0.7516,0.012323900696573194,0.026461988058968242,7211,289,248,7252
final,tta,0.9671333333333333,0.9655813953488372,0.9688,0.9671880199667221,0.9957727822222222,0.03253333333333332,0.9316,0.8224,0.01286881807918355,0.02359609328804215,7241,259,234,7266
