Model,Variant,accuracy,precision,recall,f1,auc,eer,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr,ece,brier,tn,fp,fn,tp
FreqNet-like frequency baseline,freqnet_like_baseline,0.5925333333333334,0.6475967673330497,0.406,0.49909850844123915,0.6492293155555555,0.3945333333333333,0.0408,0.004666666666666667,0.007565726233273696,0.23675855099627813,5843,1657,4455,3045
F3Net-like spatial-frequency baseline,f3net_like_baseline,0.9582666666666667,0.9564409030544488,0.9602666666666667,0.9583499667332003,0.99340008,0.04120000000000001,0.9008,0.7596,0.014893965836800646,0.030337595797831567,7172,328,298,7202
MesoNet compact baseline,mesonet_baseline,0.6911333333333334,0.7213899613899614,0.6228,0.668479427549195,0.7743806755555556,0.3089333333333333,0.196,0.10346666666666667,0.02185747176713002,0.19410807200310531,5696,1804,2829,4671
EfficientNet-B4 CNN baseline,efficientnet_b4_baseline,0.9502,0.9578305084745763,0.9418666666666666,0.949781512605042,0.9905537600000001,0.04920000000000001,0.8630666666666666,0.6497333333333334,0.015451956064440385,0.03638738380486302,7189,311,436,7064
ConvNeXt-Tiny CNN baseline,convnext_tiny_baseline,0.6200666666666667,0.6281121069853465,0.5886666666666667,0.6077500172069653,0.6632146044444445,0.379,0.04293333333333333,0.0036,0.026235301699241004,0.2324841770425395,4886,2614,3085,4415
ViT-B/16 transformer baseline,vit_b16_baseline,0.5854,0.6651198762567672,0.344,0.4534669127339836,0.6288076977777778,0.4076666666666666,0.0448,0.0048,0.027132819265127166,0.240501947142894,6201,1299,4920,2580
Swin-Tiny transformer baseline,swin_tiny_baseline,0.9468666666666666,0.9576676225590605,0.9350666666666667,0.946232206705795,0.9887254666666667,0.054400000000000004,0.8652,0.6826666666666666,0.012493901656568005,0.03913694985650955,7190,310,487,7013
Xception baseline,xception_baseline,0.9532666666666667,0.9466561555643148,0.9606666666666667,0.9536099530143605,0.9914404622222223,0.04613333333333334,0.8657333333333334,0.5114666666666666,0.013897056037932634,0.035429744178268184,7094,406,295,7205
Spatial-only internal baseline,spatial_baseline,0.9569333333333333,0.9618598382749326,0.9516,0.9567024128686327,0.9918036444444445,0.04293333333333335,0.8893333333333333,0.6246666666666667,0.010606740764901096,0.03248693096020093,7217,283,363,7137
Full proposed FG-DG-CSF-XAI,final,0.9642,0.961676170269195,0.9669333333333333,0.9642975865966359,0.9946840622222222,0.03520000000000001,0.9241333333333334,0.7516,0.012323900696573194,0.026461988058968242,7211,289,248,7252
